,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,present_prize
166,Tata,2011,150000,155500,Diesel,Individual,Manual,First Owner,180000
167,Hyundai,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,508493
168,Chevrolet,2016,320000,40000,Petrol,Individual,Manual,First Owner,488561
169,Maruti,2015,400000,100000,Diesel,Individual,Manual,Third Owner,673737
170,Maruti,2012,175000,80000,Petrol,Individual,Manual,Third Owner,210000
171,Chevrolet,2011,120000,90000,Petrol,Individual,Manual,Second Owner,144000
172,Renault,2013,320000,90000,Diesel,Individual,Manual,Second Owner,503407
173,Hyundai,2006,70000,110000,Petrol,Individual,Manual,Third Owner,84000
174,Maruti,2019,810000,15000,Petrol,Individual,Manual,First Owner,1189364
175,Maruti,2007,95000,100000,Petrol,Individual,Manual,Second Owner,114000
176,Maruti,2020,282000,40000,CNG,Individual,Manual,First Owner,338400
177,Maruti,2004,80000,60000,Petrol,Individual,Manual,Second Owner,96000
178,Tata,2013,72000,25000,Petrol,Individual,Manual,First Owner,104427
179,Hyundai,2016,600000,25000,Petrol,Individual,Manual,First Owner,969583
180,Skoda,2015,640000,23000,Petrol,Individual,Manual,First Owner,1004182
181,Maruti,2018,380000,22155,Petrol,Individual,Manual,First Owner,456000
182,Maruti,2018,650000,70000,Petrol,Individual,Manual,First Owner,849671
183,Maruti,2009,150000,60000,Petrol,Individual,Manual,Second Owner,180000
184,Hyundai,2009,280000,110000,Petrol,Individual,Manual,Second Owner,302790
185,Tata,2018,430000,30000,Petrol,Individual,Manual,First Owner,596693
186,Mahindra,2019,800000,15000,Diesel,Individual,Manual,First Owner,1227461
187,Maruti,2003,75000,100000,Diesel,Individual,Manual,Second Owner,90000
188,Volkswagen,2016,650000,70000,Diesel,Individual,Automatic,First Owner,1052536
189,Maruti,2017,390000,24000,Petrol,Individual,Manual,First Owner,520671
190,Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner,120000
191,Mercedes-Benz,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,2447197
192,Maruti,2007,175000,78380,Petrol,Individual,Manual,First Owner,210117
193,Renault,2012,434999,110000,Diesel,Individual,Manual,Second Owner,550160
194,Ford,2010,170000,90000,Diesel,Individual,Manual,Third Owner,204000
195,Ford,2011,190000,90000,Diesel,Individual,Manual,Third Owner,221237
196,Maruti,2009,250000,150000,Diesel,Individual,Manual,Third Owner,300000
197,Mahindra,2009,229999,230000,Diesel,Individual,Manual,Third Owner,275998
198,Maruti,2006,140000,70000,Petrol,Individual,Manual,Third Owner,168000
199,Maruti,2017,600000,80362,Diesel,Individual,Manual,First Owner,949015
200,Hyundai,2012,280000,110000,Petrol,Individual,Manual,Third Owner,336000
201,Chevrolet,2012,150000,60000,Diesel,Individual,Manual,First Owner,180000
202,Chevrolet,2015,650000,50000,Diesel,Individual,Automatic,First Owner,1081796
203,Nissan,2014,210000,40000,Petrol,Individual,Manual,Second Owner,332161
204,BMW,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,4992101
205,Chevrolet,2013,425000,20000,Diesel,Dealer,Manual,First Owner,573006
206,Hyundai,2014,265000,55000,Petrol,Dealer,Manual,First Owner,270894
207,Fiat,2018,890000,1136,Petrol,Dealer,Manual,First Owner,1259294
208,Renault,2013,365000,55000,Petrol,Dealer,Manual,First Owner,600135
209,Ford,2014,350000,43000,Petrol,Dealer,Manual,First Owner,587479
210,Maruti,2016,685000,60000,Diesel,Individual,Manual,First Owner,1066445
211,Skoda,2018,940000,2650,Diesel,Dealer,Manual,First Owner,1607452
212,Mahindra,2017,1000000,40000,Diesel,Individual,Manual,First Owner,1522893
213,Mahindra,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,1755661
214,Maruti,2016,450000,115962,Diesel,Individual,Manual,Second Owner,636925
215,Nissan,2015,590000,65000,Diesel,Dealer,Manual,First Owner,785749
216,Maruti,2017,800000,40000,Diesel,Individual,Manual,First Owner,1338165
217,Hyundai,2012,385000,58000,Diesel,Dealer,Manual,First Owner,397585
218,Mercedes-Benz,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,3217907
219,Hyundai,2012,235000,54000,Petrol,Dealer,Manual,First Owner,368372
220,Volkswagen,2017,640000,56000,Diesel,Dealer,Manual,First Owner,925102
221,Maruti,2006,52000,120000,Petrol,Individual,Manual,Third Owner,62400
222,Maruti,2009,80000,90000,LPG,Individual,Manual,Second Owner,96000
223,Maruti,2012,140000,70000,Petrol,Individual,Manual,Second Owner,199258
224,Hyundai,2008,120000,90000,Petrol,Individual,Manual,Second Owner,144000
225,Mahindra,2008,89999,213000,Diesel,Individual,Manual,First Owner,107998
226,Chevrolet,2012,180000,120000,Diesel,Individual,Manual,First Owner,198634
227,Mahindra,2017,1500000,20000,Diesel,Individual,Manual,First Owner,2547717
228,Hyundai,2017,700000,10000,Petrol,Individual,Manual,First Owner,1104271
229,Maruti,2012,285000,80000,Diesel,Individual,Manual,Second Owner,428797
230,Hyundai,2015,390000,90000,Petrol,Individual,Manual,First Owner,413123
231,Maruti,2008,125000,80000,Petrol,Individual,Manual,First Owner,150000
232,Maruti,2008,225000,60000,Petrol,Individual,Manual,Second Owner,270000
233,Hyundai,2011,175000,139000,Petrol,Individual,Manual,Second Owner,210000
234,Toyota,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,1816330
235,Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner,333138
236,Toyota,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,1057806
237,Tata,2009,90000,120000,Diesel,Dealer,Manual,First Owner,108000
238,Tata,2011,120000,120000,Diesel,Individual,Manual,Second Owner,150228
239,Chevrolet,2012,220000,100000,Diesel,Individual,Manual,Second Owner,264000
240,Tata,2015,300000,140000,Diesel,Dealer,Manual,First Owner,431249
241,Skoda,2010,180000,87000,Diesel,Dealer,Manual,Second Owner,216000
242,Maruti,2013,170000,70000,Petrol,Individual,Manual,First Owner,204000
243,Ford,2015,300000,50000,Petrol,Individual,Manual,Second Owner,321788
244,Toyota,2014,1050000,70000,Diesel,Individual,Manual,First Owner,1566675
245,Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner,482919
246,Hyundai,2018,465000,25000,Diesel,Individual,Manual,First Owner,757639
247,Chevrolet,2011,130000,80000,Diesel,Individual,Manual,Second Owner,156000
248,Datsun,2018,434999,10000,Petrol,Individual,Manual,First Owner,654766
249,Hyundai,2018,500000,32000,Petrol,Individual,Manual,First Owner,665506
250,Maruti,2018,200000,10000,Petrol,Individual,Manual,First Owner,287870
251,Maruti,2017,625000,52000,Petrol,Dealer,Manual,First Owner,1084232
252,Ford,2006,110000,120000,Diesel,Individual,Manual,Third Owner,119421
253,Hyundai,2019,800000,11240,Petrol,Individual,Manual,First Owner,1143947
254,Hyundai,2017,490000,66000,Diesel,Dealer,Manual,First Owner,802354
255,Maruti,2017,880000,64000,Diesel,Dealer,Manual,First Owner,1496594
256,Hyundai,2013,290000,49000,Petrol,Individual,Manual,First Owner,348000
257,Tata,2006,115999,100000,Diesel,Individual,Manual,Second Owner,139198
258,Renault,2018,360000,26500,Petrol,Individual,Manual,First Owner,363350
259,Maruti,2002,65000,100000,Petrol,Individual,Manual,Second Owner,78000
260,Maruti,2017,685000,72000,Diesel,Dealer,Manual,First Owner,983307
261,Honda,2009,300000,50000,Petrol,Individual,Manual,First Owner,515835
262,Hyundai,2017,680000,44000,Diesel,Dealer,Manual,First Owner,1113389
263,Maruti,2017,1000000,60000,Diesel,Individual,Manual,Second Owner,1578290
264,Tata,2002,100000,120000,Diesel,Individual,Manual,First Owner,120000
265,Mahindra,2010,160000,130000,Diesel,Individual,Manual,First Owner,192000
266,Maruti,2017,450000,70000,Diesel,Individual,Manual,First Owner,550796
267,Maruti,2014,600000,20000,Petrol,Individual,Manual,First Owner,943422
268,Hyundai,2009,180000,60000,Diesel,Individual,Manual,Second Owner,256112
269,Maruti,2007,100000,195000,Petrol,Individual,Manual,First Owner,139347
270,Maruti,2010,120000,90000,Petrol,Individual,Manual,Second Owner,174764
271,Hyundai,2006,130000,80000,Petrol,Individual,Manual,Third Owner,144243
272,Maruti,2011,160000,155000,Petrol,Individual,Manual,First Owner,192000
273,Mahindra,2019,860000,35000,Diesel,Individual,Manual,First Owner,1373812
274,Hyundai,2018,650000,20000,Petrol,Individual,Manual,Second Owner,943420
275,Maruti,2010,100000,80000,Petrol,Individual,Manual,Second Owner,120000
276,Maruti,2017,282000,20000,Petrol,Individual,Manual,First Owner,338400
277,Hyundai,2009,300000,50000,Petrol,Individual,Manual,First Owner,321059
278,Hyundai,2010,270000,110000,Petrol,Individual,Manual,Second Owner,299023
279,Hyundai,2013,550000,29000,Diesel,Individual,Manual,First Owner,671433
280,Mahindra,2013,450000,120000,Diesel,Individual,Manual,First Owner,741283
281,Mahindra,2011,430000,70000,Diesel,Individual,Manual,Second Owner,571221
282,Maruti,2013,350000,40000,Petrol,Individual,Manual,First Owner,423998
283,Honda,2017,350000,20000,Petrol,Individual,Manual,First Owner,521034
284,Toyota,2013,229999,50000,Petrol,Individual,Manual,Second Owner,275998
285,Maruti,2013,110000,50000,Petrol,Individual,Manual,First Owner,132000
286,Maruti,2012,395000,49000,Petrol,Individual,Manual,Second Owner,431581
287,Mahindra,2011,650000,70000,Diesel,Individual,Automatic,Second Owner,942012
288,Mahindra,2011,350000,90000,Diesel,Individual,Manual,Second Owner,420000
289,Mahindra,2020,1400000,25000,Diesel,Dealer,Manual,First Owner,2399925
290,Tata,2018,360000,4000,Petrol,Individual,Manual,First Owner,432000
291,Mahindra,2018,1300000,10000,Diesel,Individual,Manual,First Owner,2091329
292,Renault,2015,800000,15000,Diesel,Individual,Manual,First Owner,1135633
293,Hyundai,2018,229999,30000,Petrol,Individual,Manual,First Owner,275998
294,Maruti,2014,315000,41000,Petrol,Dealer,Manual,First Owner,503240
295,Chevrolet,2012,125000,28000,Petrol,Individual,Manual,First Owner,150000
296,Maruti,2019,700000,16000,Petrol,Individual,Manual,First Owner,1094041
297,Hyundai,2015,160000,70000,Petrol,Individual,Manual,First Owner,213480
298,Ford,2017,530000,10832,Petrol,Dealer,Manual,First Owner,915967
299,Ford,2018,624000,14681,Diesel,Dealer,Manual,First Owner,794157
300,Hyundai,2009,250000,50000,Petrol,Individual,Manual,First Owner,300000
301,Mahindra,2016,585000,51000,Diesel,Dealer,Manual,First Owner,945356
302,Hyundai,2015,500000,25000,Petrol,Individual,Manual,First Owner,668632
303,Chevrolet,2014,350000,30000,Petrol,Individual,Manual,First Owner,595651
304,Honda,2014,495000,80000,Diesel,Dealer,Manual,First Owner,830614
305,Hyundai,2017,500000,50000,Petrol,Individual,Manual,First Owner,822831
306,Mahindra,2015,430000,200000,Diesel,Individual,Manual,First Owner,629897
307,Hyundai,2013,345000,44000,Petrol,Dealer,Manual,First Owner,425860
308,Maruti,2015,500000,10000,Petrol,Individual,Manual,First Owner,613617
309,Tata,2019,425000,19600,Petrol,Individual,Manual,First Owner,718819
310,Maruti,2005,80000,40000,Petrol,Individual,Manual,Second Owner,96000
311,Chevrolet,2011,106000,50000,Diesel,Individual,Manual,First Owner,127200
312,Maruti,2009,180000,46730,Petrol,Individual,Manual,First Owner,222450
313,Datsun,2015,250000,40000,Petrol,Individual,Manual,Second Owner,283259
314,Skoda,2011,350000,80000,Diesel,Individual,Manual,First Owner,572267
315,Maruti,2002,60000,80000,Petrol,Individual,Manual,Second Owner,72000
316,Hyundai,2018,900000,24000,Diesel,Individual,Manual,First Owner,1356333
317,Ford,2017,700000,21170,Diesel,Dealer,Manual,First Owner,1067000
318,BMW,2013,2000000,167223,Diesel,Dealer,Automatic,First Owner,3440820
319,Maruti,2017,1000000,40000,Diesel,Individual,Manual,First Owner,1575316
320,BMW,2011,1375000,60000,Diesel,Individual,Automatic,First Owner,2284415
321,Toyota,2016,1800000,141440,Diesel,Dealer,Manual,First Owner,2912520
322,Chevrolet,2007,160000,120000,Diesel,Individual,Manual,Third Owner,160806
323,Mitsubishi,2012,525000,140000,Petrol,Individual,Automatic,First Owner,859937
324,Mahindra,2012,850000,212814,Diesel,Dealer,Manual,First Owner,1268492
325,Maruti,2019,800000,30000,Diesel,Individual,Manual,First Owner,1110781
326,Ford,2017,700000,88635,Diesel,Dealer,Manual,First Owner,1099992
327,Maruti,2018,800000,25000,Diesel,Individual,Manual,First Owner,1308518
328,Hyundai,2017,575000,20000,Petrol,Individual,Manual,Second Owner,907217
329,Renault,2012,350000,110000,Diesel,Individual,Manual,Second Owner,540581
330,Maruti,2008,250000,120000,Diesel,Individual,Manual,Third Owner,300000
331,Ford,2011,600000,149674,Diesel,Dealer,Manual,Second Owner,786742
332,Mahindra,2007,370000,100000,Diesel,Individual,Manual,Third Owner,632859
333,Maruti,2006,80000,120000,Petrol,Individual,Manual,Third Owner,96000
334,Tata,2003,50000,120000,Diesel,Individual,Manual,Second Owner,60000
335,Hyundai,2018,900000,25000,Diesel,Individual,Manual,First Owner,1308894
336,Maruti,2014,300000,35000,Petrol,Individual,Manual,Second Owner,432594
337,Tata,2002,125000,40000,Petrol,Individual,Manual,First Owner,182956
338,Maruti,2015,490000,60000,Diesel,Individual,Manual,Second Owner,844614
339,Toyota,2012,300000,50000,Diesel,Individual,Manual,Second Owner,335189
340,Tata,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,66000
341,Hyundai,2016,350000,25000,Petrol,Individual,Manual,First Owner,372311
342,Hyundai,2019,755000,8000,Diesel,Individual,Manual,First Owner,1098118
343,Maruti,2017,720000,60000,Diesel,Individual,Manual,First Owner,997175
344,Mahindra,2006,229999,200000,Diesel,Individual,Manual,Third Owner,275998
345,Mahindra,2018,1100000,20000,Diesel,Individual,Manual,First Owner,1706033
346,Volkswagen,2013,400000,100000,Petrol,Individual,Manual,First Owner,658672
347,Hyundai,2015,350000,70000,Diesel,Individual,Manual,Second Owner,484391
348,Chevrolet,2012,159000,68000,Diesel,Dealer,Manual,First Owner,190800
349,Maruti,2017,550000,38000,Petrol,Dealer,Manual,First Owner,786320
350,Maruti,2013,335000,80000,Diesel,Dealer,Manual,First Owner,350886
351,Tata,2014,185000,72000,CNG,Dealer,Manual,First Owner,222000
352,Maruti,2012,229999,75000,CNG,Dealer,Manual,First Owner,318017
353,Maruti,2014,225000,43000,Petrol,Dealer,Manual,First Owner,270000
354,Maruti,2007,250000,120000,Petrol,Individual,Manual,Second Owner,306864
355,Tata,2015,400000,100000,Diesel,Individual,Manual,First Owner,434977
356,Maruti,2014,470000,163000,Diesel,Individual,Manual,First Owner,706512
357,Maruti,2018,300000,25000,Petrol,Individual,Automatic,First Owner,485338
358,Maruti,2011,145000,25000,Petrol,Individual,Manual,First Owner,174000
359,Maruti,2007,100000,90000,Petrol,Individual,Manual,Second Owner,120000
360,Mahindra,2014,500000,70000,Diesel,Individual,Manual,Second Owner,593674
361,Hyundai,2010,130000,98000,CNG,Individual,Manual,Second Owner,156000
